TF,TargetGene,Effect,PMID,DATABASEA,Tissue
AHR,CYP1B1,Activation,17012224,UNIPROT,
RORA,CPT1B,Activation,15199055,UNIPROT,
EP300,CPT1B,Activation,15199055,UNIPROT,
PPARGC1A,CPT1B,Activation,15199055,UNIPROT,
SREBF2,SQLE,Activation,31848472,UNIPROT,
TFE3,GBA,Activation,24448649,UNIPROT,
TFE3,GLA,Activation,24448649,UNIPROT,
TFE3,HEXA,Activation,24448649,UNIPROT,
CRP,LPL,Activation,18708524,UNIPROT,
IFNG,LPL,Repression,10909770,UNIPROT,
TNF,LPL,Repression,16106106,UNIPROT,
VDR,CYP3A4,Activation,12147248,UNIPROT,
SREBF1,ACACA,Activation,11994399,UNIPROT,
SREBF1,ACLY,Activation,11994399,UNIPROT,
SREBF1,FASN,Activation,20373869,UNIPROT,
SREBF1,FASN,Activation,16308421,UNIPROT,
NR4A1,HSD3B2,Activation,15666793,UNIPROT,
ESR1,CYP19A1,Repression,11973645,UNIPROT,
NR5A1,CYP19A1,Activation,19237537,UNIPROT,
MLXIPL,ELOVL6,Activation,27524233,UNIPROT,
STAT6,ALOX15,Unknown,10657944,Trrust,
AHR,CYP1A2,Unknown,21357676,Trrust,
MLL4,COX1,Unknown,19570036,Trrust,
NFKB1,COX1,Unknown,19570036,Trrust,
NR3C1,COX1,Unknown,19570036,Trrust,
RELA,COX1,Unknown,19570036,Trrust,
SP1,SLC25A20,Unknown,21130740,Trrust,
HDAC3,LSS,Unknown,17925399,Trrust,
YY1,LSS,Unknown,17925399,Trrust,
NR1H3,ABCA1,Unknown,15171719,Trrust,
SP1,ABCA1,Unknown,10884428,Trrust,
SP3,ABCA1,Unknown,10884428,Trrust,
PPARA,APOB,Repression,16542871,Trrust,
PPARA,APOC3,Unknown,11007963,Trrust,
SP1,CETP,Unknown,12730302,Trrust,
SP3,CETP,Unknown,12730302,Trrust,
ATF3,LDLR,Repression,21294679,Trrust,
EGR1,LDLR,Activation,12235180,Trrust,
EGR1,LDLR,Unknown,12947119,Trrust,
SP1,LDLR,Activation,16303770,Trrust,
SREBF1,LDLR,Activation,22153697,Trrust,
SREBF1,LDLR,Unknown,12180145,Trrust,
YY1,LDLR,Unknown,10318878,Trrust,
SP3,LPL,Activation,9788252,Trrust,
SP3,LPL,Unknown,18793716,Trrust,
HNF1A,MTTP,Unknown,18697801,Trrust,
MYC,CYP3A4,Unknown,14575816,Trrust,
NR1I2,CYP3A4,Unknown,11991950;12606758;15100175;15650019;16608838;18096673;20171174;21292004;21920351;23807564,Trrust,
VDR,CYP3A4,Unknown,11723248,Trrust,
VDR,CYP3A4,Activation,12147248;19712670,Trrust,
VDR,CYP3A4,Unknown,11991950;15205382;15358113;18400206;22939842,Trrust,
AR,PTGS2,Repression,18386814,Trrust,
CEBPB,PTGS2,Activation,16820889;18294142,Trrust,
CEBPD,PTGS2,Unknown,7559624,Trrust,
CREB1,PTGS2,Activation,22919060,Trrust,
CREBBP,PTGS2,Unknown,11278336,Trrust,
ENO1,PTGS2,Unknown,19846662,Trrust,
FOS,PTGS2,Unknown,11278336;12057991;17556653,Trrust,
HDAC1,PTGS2,Activation,17395887,Trrust,
NFKB1,PTGS2,Unknown,12067569;12349897;12871860;14988266;15655349;16210649;17556653;17673602;17767925;18973191;19766095;20103608;20669087,Trrust,
PPARG,PTGS2,Unknown,10827178;11278336,Trrust,
RELA,PTGS2,Unknown,12067569;12349897;12871860;14645117;14988266;15655349;16210649;17556653;17673602;17767925;18973191;19766095;20103608;20669087,Trrust,
STAT1,PTGS2,Unknown,10433370;16685393,Trrust,
STAT3,PTGS2,Unknown,21172343,Trrust,
CREB1,ACACA,Activation,19842072,Trrust,
SREBF1,ACLY,Activation,10777536,Trrust,
KLF5,FASN,Activation,18774944,Trrust,
SREBF1,FASN,Unknown,10520861;11790787;17449569,Trrust,
NR4A1,HSD3B2,Unknown,15208301;20083153;23874725,Trrust,
NR5A2,HSD3B2,Unknown,23874725,Trrust,
GATA6,CYP17A1,Unknown,14988427,Trrust,
NFIC,CYP17A1,Unknown,11463853,Trrust,
NR5A1,CYP17A1,Unknown,17664281;21467194;23530236,Trrust,
BRCA1,CYP19A1,Unknown,19445691,Trrust,
CEBPB,CYP19A1,Unknown,7635140;8603036,Trrust,
ESRRA,CYP19A1,Unknown,11973645,Trrust,
NR5A1,CYP19A1,Repression,22427816,Trrust,
NR5A2,CYP19A1,Unknown,11927588,Trrust,
