,Database,TF,TargetGene,Library/PMID
0,CHEA,E2F7,GBA,22180533
1,CHEA,SOX11,GBA,23321250
2,CHEA,HNF4A,GBA,19761587
3,CHEA,SMAD3,GBA,18955504
4,CHEA,FOXM1,GBA,23109430
5,CHEA,NFE2L2,GBA,22581777
6,CHEA,TFEB,GBA,21752829
7,CHEA,ELF1,GBA,20517297
8,CHEA,E2F1,GBA,21310950
9,CHEA,FOXP3,GBA,21729870
10,CHEA,MITF,GBA,21258399
11,CHEA,ETS1,GBA,20019798
12,CHEA,GATA6,GBA,25053715
13,CHEA,ATF3,GBA,23680149
14,CHEA,VDR,GBA,23849224
15,CHEA,E2F4,GBA,21247883
16,CHEA,CUX1,GBA,19635798
17,CHEA,AR,GBA,19668381
18,CHEA,FOXP1,GBA,21924763
