,Database,TF,TargetGene,Library/PMID
0,CHEA,AR,PLA2G5,25329375
1,CHEA,TCF21,PLA2G5,26020271
2,CHEA,MYC,PLA2G5,19915707
3,CHEA,PBX1,PLA2G5,22567123
4,CHEA,STAT3,PLA2G5,23295773
5,CHEA,TP63,PLA2G4B,22573176
6,CHEA,MYCN,CHEK1,21190229
7,CHEA,STAT1,CHEK1,20625510
8,CHEA,E2F4,CHEK1,17652178
9,CHEA,E2F1,CHEK1,21310950
10,CHEA,BACH1,CHEK1,22875853
11,CHEA,POU3F2,CHEK1,20337985
12,CHEA,EGR1,CHEK1,20690147
13,CHEA,FOXA1,CHEK1,25329375
14,CHEA,ELK3,CHEK1,25401928
15,CHEA,CUX1,CHEK1,19635798
16,CHEA,PPARD,CHEK1,21283829
17,CHEA,RBPJ,PLA2G4D,21746931
18,CHEA,GATA3,PLA2G4D,24758297
19,CHEA,ELK3,PLA2G4D,25401928
20,CHEA,TP63,PLA2G4D,23658742
21,CHEA,FOXA1,PLA2G2A,25552417
22,CHEA,GATA3,PLA2G2A,24758297
23,CHEA,GATA4,PLA2G2A,25053715
24,CHEA,GATA6,PLA2G2A,25053715
25,CHEA,FOXA2,PLA2G2A,19822575
