Uniprot ID,Proteins
Q15126,PMVK
P04035-2,HMGCR
P04035-1,HMGCR
Q15392,DHCR24
P36956,SREBF1
Q12772,SREBF2
Q16850,CYP51A1
P53602,MVD
Q9H2C2,ARV1
Q9UBM7,DHCR7
O75845,SC5D
Q15125,EBP
Q14739,LBR
Q15800,MSMO1
P37268,FDFT1
O95749,GGPS1
Q15738,NSDHL
Q01581,HMGCS1
P14324,FDPS
Q03426,MVK
Q9BXS1,IDI2
Q13907,IDI1
Q9BWD1,ACAT2
P56937,HSD17B7
O76062,TM7SF2
P48449,LSS
Q14534,SQLE
Q8IY26,PLPP6
P51161,FABP6
Q9Y6L6,SLCO1B1
Q9Y2P5,SLC27A5
Q14032,BAAT
Q12908,SLC10A2
P19793,RXRA
Q15788,NCOA1
Q96RI1,NR1H4
Q15596,NCOA2
O15438,ABCC3
Q14973,SLC10A1
P46721,SLCO1A2
O95342,ABCB11
Q86UW2,SLC51B
Q86UW1,SLC51A
P02768,ALB
Q9NPD5,SLCO1B3
Q9NSY2,STARD5
P22680,CYP7A1
O75881,CYP7B1
Q9H1P3,OSBPL2
Q9BZF3,OSBPL6
Q9H4L5,OSBPL3
Q96SU4,OSBPL9
Q9BZF2,OSBPL7
Q9BXW6,OSBPL1A
P22059,OSBP
P22307-1,SCP2
P51659,HSD17B4
Q02318,CYP27A1
O14975,SLC27A2
Q9UHK6,AMACR
O14734,ACOT8
P42330,AKR1C3
P52895,AKR1C2
Q04828,AKR1C1
P17516,AKR1C4
P51857,AKR1D1
Q9H2F3,HSD3B7
Q16647,PTGIS
Q9UNU6,CYP8B1
Q99424,ACOX2
Q9Y6A2,CYP46A1
Q9NYL5,CYP39A1
O95992,CH25H
