Uniprot ID,Proteins
P49327,FASN
P50897,PPT1
Q9NV23,OLAH
Q4G176,ACSF3
Q5K4L6,SLC27A3
Q5FVE4,ACSBG2
Q96GR2,HBG1
O95573,ACSL3
O60488,ACSL4
Q9H5J4,ELOVL6
Q9HB03,ELOVL3
A1L3X0,ELOVL7
Q9BW60,ELOVL1
Q9GZR5,ELOVL4
Q5HYJ1,TECRL
Q9NZ01,TECR
Q9ULC5,ACSL5
Q9UKU0,ACSL6
P33121,ACSL1
Q9NXB9,ELOVL2
Q9NYP7,ELOVL5
P37058,HSD17B3
Q53GQ0,HSD17B12
Q5VWC8,HACD4
Q9P035,HACD3
B0YJ81,HACD1
Q6Y1H2,HACD2
P86397,RPP14
Q13085,ACACA
Q9UMR5,PPT2
P53396,ACLY
Q9Y6X9,MORC2
Q8N4T8,CBR4
Q92506,HSD17B8
O14975,SLC27A2
O00767,SCD
Q86SK9,SCD5
Q15165,PON2
Q15166,PON3
P27169,PON1
P20292,ALOX5AP
P09917,ALOX5
Q16873,LTC4S
P18283,GPX2
P36969,GPX4
P07203,GPX1
P05177,CYP1A2
Q16678,CYP1B1
P04798,CYP1A1
Q7Z449,CYP2U1
Q02928,CYP4A11
P78329,CYP4F2
P10632,CYP2C8
P11712,CYP2C9
P33261,CYP2C19
Q6GMR7,FAAH2
Q5TCH4,CYP4A22
Q6NT55,CYP4F22
P13584,CYP4B1
Q9HBI6,CYP4F11
P98187,CYP4F8
Q08477,CYP4F3
P16050,ALOX15
P33527,ABCC1
Q9H4B8,DPEP3
Q9H4A9,DPEP2
P16444,DPEP1
P36269,GGT5
P19440,GGT1
P09960,LTA4H
P49137,MAPKAPK2
Q14914,PTGR1
P18054,ALOX12
P47712,PLA2G4A
Q8N8N7,PTGR2
P35354,PTGS2
P41222,PTGDS
P42330,AKR1C3
P24557,TBXAS1
Q8TBF2,PRXL2B
P15428,HPGD
O14684,PTGES
P23219,PTGS1
P16152,CBR1
Q9UNU6,CYP8B1
Q16647,PTGIS
Q15185,PTGES3
Q9H7Z7,PTGES2
O60760,HPGDS
P51589,CYP2J2
P34913,EPHX2
O15296,ALOX15B
O00519,FAAH
Q9BYJ1,ALOXE3
O75342,ALOX12B
Q58HT5,AWAT1
Q8NC06,ACBD4
Q5T8D3,ACBD5
Q15067-2,ACOX1
O75521-2,ECI2
Q08426,EHHADH
Q9NUI1,DECR2
P51659,HSD17B4
O95822-2,MLYCD
P33897,ABCD1
Q8N9L9,ACOT4
O14734,ACOT8
Q3I5F7,ACOT6
P09110,ACAA1
Q9NYQ3,HAO2
O43808,SLC25A17
O14832,PHYH
Q9BY49,PECR
P51648-2,ALDH3A2
Q9UJ83,HACL1
Q99424,ACOX2
Q9NUZ1,ACOXL
P22307-1,SCP2
O15254,ACOX3
P43155,CRAT
Q9UHK6,AMACR
Q9UKG9,CROT
P0C024,NUDT7
A8MXV4,NUDT19
P22307,SCP2
O95864,FADS2
O60427,FADS1
Q8N6N7,ACBD7
P07108,DBI
Q96CM8,ACSF2
Q709F0,ACAD11
Q8IVS2,MCAT
O14561,NDUFAB1
Q9Y305,ACOT9
P49753,ACOT2
Q8N1Q8,THEM5
Q5T1C6,THEM4
P11310,ACADM
Q9BV79,MECR
P30084,ECHS1
P40939,HADHA
P55084,HADHB
Q16836,HADH
P28330,ACADL
P16219,ACADS
P49748,ACADVL
Q6P461,ACSM6
Q53FZ2,ACSM3
P42126,ECI1
Q16698,DECR1
P22033,MMUT
Q8IVH4,MMAA
P05165,PCCA
P05166,PCCB
Q96PE7,MCEE
Q6JQN1,ACAD10
Q6ZUV0,ACOT7L
O00154,ACOT7
Q8WXI4,ACOT11
Q8WYK0,ACOT12
Q9NPJ3,ACOT13
Q86TX2,ACOT1
Q9UKL6,PCTP
Q9BR61,ACBD6
P42765,ACAA2
O76082,SLC22A5
Q9UGJ0,PRKAG2
P54646,PRKAA2
O43741,PRKAB2
O00763,ACACB
P50416,CPT1A
Q92523,CPT1B
P19793,RXRA
Q03181,PPARD
P23786,CPT2
Q9NPA3,MID1IP1
Q92748,THRSP
O43772,SLC25A20
