Uniprot ID,Proteins
Q6ZWT7,MBOAT2
Q6P1A2,LPCAT3
Q643R3,LPCAT4
Q6ZNC8,MBOAT1
P14555,PLA2G2A
Q9NP80,PNPLA8
Q8TB40,ABHD4
Q3MJ16,PLA2G4E
P47712,PLA2G4A
P53816,PLAAT3
Q6P4A8,PLBD1
Q68DD2,PLA2G4F
P0C869,PLA2G4B
Q86XP0,PLA2G4D
O60733,PLA2G6
Q9UNK4,PLA2G2D
O15496,PLA2G10
Q9NZ20,PLA2G3
P04054,PLA2G1B
Q9BZM2,PLA2G2F
Q9BZM1,PLA2G12A
Q9NZK7,PLA2G2E
P39877,PLA2G5
Q13018,PLA2R1
Q9UP65,PLA2G4C
Q96KN8,PLAAT5
Q9HDD0,PLAAT1
Q9UL19,PLAAT4
Q9NWW9,PLAAT2
Q9NQZ5,STARD7
Q8TCT1,PHOSPHO1
P06276,BCHE
P22303,ACHE
Q8NA29,MFSD2A
Q8WU67,ABHD3
Q8NF37,LPCAT1
Q9Y365,STARD10
Q9UKL6,PCTP
Q9Y6K0,CEPT1
P35790,CHKA
Q9Y259,CHKB
P28329,CHAT
Q8WUD6,CHPT1
P68400,CSNK2A1
P19784,CSNK2A2
P67870,CSNK2B
Q9UBM1,PEMT
Q92539,LPIN2
Q9BQK8,LPIN3
Q14693,LPIN1
Q8IWA5,SLC44A2
Q53GD3,SLC44A4
Q8N4M1,SLC44A3
Q8NCS7,SLC44A5
Q8WWI5,SLC44A1
Q9Y5K3,PCYT1B
P49585,PCYT1A
Q9NPB8,GPCPD1
Q9H0X9,OSBPL5
Q9BZF1,OSBPL8
Q9BXB5,OSBPL10
Q53H76,PLA1A
Q9NUQ2,AGPAT5
P09923,ALPI
O15228,GNPAT
Q9NRZ5,AGPAT4
Q86UL3,GPAT4
Q6UWP7,LCLAT1
Q99943,AGPAT1
O15120,AGPAT2
Q53EU6,GPAT3
Q9NRZ7,AGPAT3
Q8N335,GPD1L
P21695,GPD1
P43304,GPD2
Q6NUI2,GPAT2
Q9HCL2,GPAM
Q8N2A8,PLD6
Q8NAN2,MIGA1
Q7L4E1,MIGA2
O14939,PLD2
Q13393,PLD1
Q9NPH0,ACP6
Q6XZB0,LIPI
Q8WWY8,LIPH
Q8NEL9,DDHD1
O94830,DDHD2
P48739,PITPNB
P48651,PTDSS1
Q9BVG9,PTDSS2
O14735,CDIPT
Q92903,CDS1
Q9BZ71,PITPNM3
O00562,PITPNM1
Q9BZ72,PITPNM2
Q7L5N7,LPCAT2
Q8N661,TMEM86B
Q6P1J6,PLB1
Q9UJA2,CRLS1
Q9NST1,PNPLA3
Q96AD5,PNPLA2
Q6ZPD8,DGAT2L6
Q6E213,AWAT2
Q99685,MGLL
Q96PD7,DGAT2
O75907,DGAT1
P40939,HADHA
P55084,HADHB
Q16635,TAFAZZIN
Q8IV08,PLD3
Q96BZ4,PLD4
O95674,CDS2
Q8WUK0,PTPMT1
Q32NB8,PGS1
Q9NVF9,ETNK2
Q9HBU6,ETNK1
Q99447,PCYT2
Q9C0D9,SELENOI
Q8TBG4,ETNPPL
Q9UG56,PISD
Q92604,LPGAT1
Q96N66,MBOAT7
Q53H12,AGK
Q8NCC3,PLA2G15
Q99829,CPNE1
O75131,CPNE3
O95741,CPNE6
Q9UBL6,CPNE7
Q9NXD2,MTMR10
Q13614,MTMR2
Q9C0I1,MTMR12
Q9NYA4,MTMR4
Q13496,MTM1
Q9Y2I7,PIKFYVE
Q92562,FIG4
Q08AM6,VAC14
Q9Y2H2,INPP5F
O00443,PIK3C2A
Q8NEB9,PIK3C3
Q99570,PIK3R4
Q96PE3,INPP4A
O15327,INPP4B
Q9BTU6,PI4K2A
Q8TCG2,PI4K2B
Q96QG7,MTMR9
Q9Y216,MTMR7
P42356,PI4KA
P61204,ARF3
P84077,ARF1
Q9UBF8,PI4KB
O75747,PIK3C2G
P56180,TPTE
Q6XPS3,TPTE2
Q9NRR6,INPP5E
Q01968,OCRL
Q9NTJ5,SACM1L
P78356,PIP4K2B
Q8TBX8,PIP4K2C
P48426,PIP4K2A
Q86T03,TMEM55B
Q86WG5,SBF2
O14986,PIP5K1B
Q99755,PIP5K1A
Q12923,PTPN13
Q9HB21,PLEKHA1
Q9HB19,PLEKHA2
Q9Y217,MTMR6
Q9BT40,INPP5K
Q15735,INPP5J
Q92835,INPP5D
O15357,INPPL1
Q8NCE2,MTMR14
O43426,SYNJ1
Q13615,MTMR3
O15056,SYNJ2
Q13613,MTMR1
P60484,PTEN
O60331,PIP5K1C
Q9HB20,PLEKHA3
Q96JA3,PLEKHA8
Q9HAU0,PLEKHA5
Q9Y2H5,PLEKHA6
Q9H4M7,PLEKHA4
Q96T51,RUFY1
P42336,PIK3CA
O00459,PIK3R2
Q92569,PIK3R3
P42338,PIK3CB
Q8WYR1,PIK3R5
P48736,PIK3CG
O00329,PIK3CD
Q5UE93,PIK3R6
O00750,PIK3C2B
P27986,PIK3R1
Q96EF0,MTMR8
P51813,BMX
P20338,RAB4A
P61106,RAB14
P20339,RAB5A
Q8WTR4,GDPD5
Q8N9F7,GDPD1
Q8IY17,PNPLA6
Q6UWR7,ENPP6
Q9NZC3,GDE1
Q7L5L3,GDPD3
Q6ZV29,PNPLA7
O95248,SBF1
Q8WVP5,TNFAIP8L1
O95379,TNFAIP8
Q6P589,TNFAIP8L2
Q5GJ75,TNFAIP8L3
Q15111,PLCL1
