Uniprot ID,Proteins
Q9NUN7,ACER3
Q8TDN7,ACER1
P51648-1,ALDH3A2
O14494,PLPP1
P43353,ALDH3B1
P48448,ALDH3B2
Q5QJU3,ACER2
Q8IWX5,SGPP2
Q9BX95,SGPP1
O43688,PLPP2
O14495,PLPP3
O95470,SGPL1
P33527,ABCC1
Q9UNQ0,ABCG2
P27544,CERS1
Q6ZMG9,CERS6
Q8IU89,CERS3
Q9HA82,CERS4
Q96G23,CERS2
Q8N5B7,CERS5
Q9NRA0,SPHK2
Q06136,KDSR
Q8NHU3,SGMS2
Q53FV1,ORMDL2
Q8N138,ORMDL3
Q9P0S3,ORMDL1
Q9NUV7,SPTLC3
Q8NFR3,SPTSSB
Q969W0,SPTSSA
O15269,SPTLC1
O15270,SPTLC2
O95292,VAPB
Q9P0L0,VAPA
Q5SGD2,PPM1L
Q9Y5P4-2,CERT1
Q9NYA1,SPHK1
Q7L5A8,FA2H
O43169,CYB5B
P22059,OSBP
P78368,CSNK1G2
Q96LT4,SAMD8
O15121,DEGS1
Q15139,PRKD1
O94806,PRKD3
Q9BZL6,PRKD2
Q6QHC5,DEGS2
Q8IVW8,SPNS2
A6NFX1,MFSD2B
Q86VZ5,SGMS1
P07602,PSAP
Q6UWV6,ENPP7
P17405,SMPD1
P54803,GALC
P06280,GLA
Q8IW92,GLB1L2
Q6UWU2,GLB1L
Q8NCI6,GLB1L3
P16278,GLB1
Q9NR71,ASAH2
P15289,ARSA
P07686,HEXB
P06865,HEXA
P17900,GM2A
Q9NY59,SMPD3
O60906,SMPD2
P20645,M6PR
Q8NBK3,SUMF1
Q8NBJ7,SUMF2
Q13510,ASAH1
Q9UQ49,NEU3
P04062,GBA1
Q9NXE4,SMPD4
Q99519,NEU1
P10619,CTSA
Q8WWR8-2,NEU4
Q9Y3R4,NEU2
Q96EG1,ARSG
Q5FYB0,ARSJ
P15848,ARSB
P51689,ARSD
P51690,ARSL
P08842,STS
P54793,ARSF
Q5FYA8,ARSH
Q6UWY0,ARSK
Q5FYB1,ARSI
Q9H227,GBA3
Q9HCG7,GBA2
Q99999,GAL3ST1
Q9NPC4,A4GALT
O96024,B3GALT4
Q00973,B4GALNT1
Q969X2,ST6GALNAC6
Q9BVH7,ST6GALNAC5
Q16842,ST3GAL2
Q11203,ST3GAL3
Q9BYG0,B3GNT5
P19526,FUT1
Q10981,FUT2
Q9UNP4,ST3GAL5
Q16880,UGT8
O75752,B3GALNT1
O15466,ST8SIA5
Q9UBX8,B4GALT6
O43286,B4GALT5
Q8TCT0,CERK
Q16739,UGCG
