Uniprot ID,Proteins
Q96PD7,DGAT2
Q6ZNB7,AGMO
Q96PD6,MOGAT1
Q3SYC2,MOGAT2
Q86VF5,MOGAT3
Q9BQK8,LPIN3
Q92539,LPIN2
Q14693,LPIN1
O75907,DGAT1
Q14410,GK2
Q14409,GK3
P32189,GK
Q6NUI2,GPAT2
Q9HCL2,GPAM
Q05469,LIPE
P41247,PNPLA4
O60664,PLIN3
P15090,FABP4
Q99685,MGLL
O60240,PLIN1
Q8WTS1,ABHD5
P43304,GPD2
P36873,PPP1CC
P62136,PPP1CA
P62140,PPP1CB
Q7Z6Z6,PNPLA5
P17612,PRKACA
P22694,PRKACB
P22612,PRKACG
Q03135,CAV1
Q0Z7S8,FABP9
O15540,FABP7
P12104,FABP2
P07148,FABP1
P51161,FABP6
P05413,FABP3
A6NFH5,FABP12
Q01469,FABP5
Q53EU6,GPAT3
Q96AD5,PNPLA2
P16233,PNLIP
