TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
CTCF,ALOX12B,kidney,"CTCF IP - RPTEC cells, Rep 1 , CTCF IP - HEK293 cells, Rep 2 , CTCF IP - HEK293 cells, Rep 1 , CTCF IP - RPTEC cells, Rep 2 , CTCF IP - HRE cells, Rep 1 , CTCF IP - HRE cells, Rep 2 ",,,
HEY1,ALOX12B,liver,HEY1 IP - HepG2 cells,,,
CTCF,ALOX12B,leukocytes,"CTCF IP - NB4 cells , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM12155 cells, Rep 2, CTCF IP - F36P cells, Rep 19 , CTCF IP - F36P cells, Rep 17 , CTCF IP - HeLa cells, Rep 2 , CTCF IP - GM12828 cells, CTCF IP -  CD20+ cells , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM12878 cells , CTCF IP - F36P cells, Rep 7 , CTCF IP - GM11918 cells, Rep 1, CTCF IP - GM12873 cells, Rep 1 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM11894 cells, Rep 2, CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 2, CTCF IP - GM12864 cells, Rep 3 , CTCF IP - KU812 cells, Rep 5 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - K562 cells, Rep 15 , CTCF IP - GM12005 cells, Rep 2, CTCF IP - GM12749 cells, Rep 2, CTCF IP - GM12874 cells, Rep 2 , CTCF IP - GM12875 cells, Rep 2 , CTCF IP - GM11811 cells, Rep 1, CTCF IP - GM12005 cells, Rep 1, CTCF IP - GM10847 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM12874 cells, Rep 1 , CTCF IP - GM12287 cells, Rep 1, CTCF IP - F36P cells, Rep 14 , CTCF IP - CD14+ cells , CTCF IP - GM18951 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF ChIP-Seq - GM12878, CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - GM12006 cells, Rep 2, CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - K562 cells, Rep 2 , CTCF IP - K562 cells, CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM12234 cells, CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM12871 cells , CTCF IP - F36P cells, Rep 13 , CTCF IP - GM12489 cells, Rep 1, CTCF IP - F36P cells, Rep 2 , CTCF IP - GM12867 cells , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - GM12489 cells, Rep 2, CTCF IP - GM12870 cells , CTCF IP - GM07037 cells, CTCF IP - GM2610 cells, Rep 1 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM12155 cells, Rep 1, CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM12749 cells, Rep 1, CTCF IP - GM2588 cells, Rep 3 , CTCF IP - HL-60 cells, Rep 9 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP -  DND , CTCF IP - GM12864 cells, Rep 2 , CTCF IP - K562 cells, CTCF IP - HL , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM11918 cells, Rep 2, CTCF IP - GM18486 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - K562 cells, CTCF IP, CTCF IP - K562 cells, Rep 7 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 5 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - F36P cells, Rep 15 , CTCF IP - GM12815 cells, Rep 1, CTCF IP - GM12875 cells, Rep 1 , CTCF IP - GM07346 cells, CTCF IP - GM12801 cells , CTCF IP - UT-7 cells, Rep 6 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM12865 cells, Rep 3 , CTCF IP - GM11831 cells, CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM12869 cells , CTCF IP - K562 cells, Rep 3 , CTCF IP - F36P cells, Rep 10 , CTCF IP - GM12154 cells, Rep 2, CTCF IP - GM12874 cells, CTCF IP - GM12878 cells, Rep 2 , CTCF IP - F36P cells, Rep 6 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - F36P cells, Rep 5 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - GM2255 cells, Rep 2 , CTCF IP - K562 cells , CTCF IP - K562 cells, Rep 11 , CTCF IP - GM11992 cells, Rep 1, CTCF IP - HL-60 cells, Rep 3 , CTCF IP - F36P cells, Rep 9 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM12154 cells, Rep 1, CTCF IP - U-937 cells, Rep 2 , CTCF IP - GM12872 cells, CTCF IP - UT-7 cells, Rep 3 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - KU812 cells, Rep 17 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - U-937 cells, Rep 1 , CTCF IP - GM12866 cells , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - KU812 cells, Rep 9 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM12868 cells , CTCF IP - GM11811 cells, Rep 2, CTCF IP - GM11992 cells, Rep 2, CTCF IP - GM2610 cells, Rep 2 , CTCF IP - F36P cells, Rep 11 , CTCF IP - F36P cells, Rep 3 , CTCF IP - GM11881 cells, CTCF IP - GM06990 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - GM06986 cells, CTCF IP - GM10847 cells, Rep 1 , CTCF IP - F36P cells, Rep 1 , CTCF IP - GM12815 cells, Rep 2, CTCF IP - GM18526 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 2 , CTCF IP - K562 cells, Rep 1 , CTCF IP - K562 cells, Rep 9 , CTCF IP - GM19193 cells, Rep 1 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 7 , CTCF IP - GM12006 cells, Rep 1",,,
RUNX1,ALOX12B,hspcs,RUNX1,,,
SPI1,ALOX12B,leukocytes,"SPI1 IP - GM12878 cells, Rep 5 , SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - K562 cells, SPI1 IP - HL cells, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP",,,
MAZ,ALOX12B,lung,MAZ IP - IMR cells,,,
CTCF,ALOX12B,colon,"CTCF IP - HCT116 cells, Rep 2 , CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 1 , CTCF IP - HCT116 cells, CTCF IP - Rep 1 , CTCF IP - Rep 2 , CTCF IP - Caco ",,,
ETS1,ALOX12B,leukocytes,ETS1 IP,,,
NFATC1,ALOX12B,leukocytes,NFATC1 IP - GM12878 cells,,,
FOSL2,ALOX12B,lung,FOSL2 IP - A549 cells,,,
