TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
125DVD3,ABCA1,colon,CEBPB IP | 125DVD3,,,
125DVD3,ABCG1,colon,"CEBPB IP | 125DVD3, CDX2 IP | 125DVD3",,,
125DVD3,ABHD3,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,ACAA1,colon,"CEBPB IP | 125DVD3, CDX2 IP | 125DVD3",,,
125DVD3,ACACA,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACADL,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACADM,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACADS,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,ACAT1,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACAT2,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACER2,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACER3,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACHE,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACLY,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACOT1,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACOT2,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACOT7,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACOT8,colon,CDX2 IP | 125DVD3,,,
125DVD3,ACOX1,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACOX2,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,ACOX3,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACSL1,colon,CEBPB IP | 125DVD3,,,
125DVD3,ACSS3,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,AGMO,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,AGPAT1,colon,"CEBPB IP | 125DVD3, CDX2 IP | 125DVD3",,,
125DVD3,AGPAT2,colon,CEBPB IP | 125DVD3,,,
125DVD3,AGPAT3,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,AGPAT5,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,AGPS,colon,CEBPB IP | 125DVD3,,,
125DVD3,AKR1C1,colon,CEBPB IP | 125DVD3,,,
125DVD3,AKR1C2,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,AKR1C3,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,AKR1C4,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,AKR1D1,colon,CEBPB IP | 125DVD3,,,
125DVD3,ALDH3A2,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,ALOX15,colon,CEBPB IP | 125DVD3,,,
125DVD3,ALOX5,colon,CEBPB IP | 125DVD3,,,
125DVD3,ALOXE3,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,AMACR,colon,"CEBPB IP | 125DVD3, CDX2 IP | 125DVD3",,,
125DVD3,APOA1,colon,CEBPB IP | 125DVD3,,,
125DVD3,APOA2,colon,"CEBPB IP | 125DVD3, CDX2 IP | 125DVD3",,,
125DVD3,APOA4,colon,CEBPB IP | 125DVD3,,,
125DVD3,APOC2,colon,CEBPB IP | 125DVD3,,,
125DVD3,APOC3,colon,CEBPB IP | 125DVD3,,,
125DVD3,ARSA,colon,CEBPB IP | 125DVD3,,,
125DVD3,ASAH1,colon,CEBPB IP | 125DVD3,,,
125DVD3,B3GALT4,colon,CDX2 IP | 125DVD3,,,
125DVD3,B3GNT5,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,BDH2,colon,CEBPB IP | 125DVD3,,,
125DVD3,CBR1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CBR4,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3, TCF4 IP | 125DVD3",,,
125DVD3,CDS2,colon,CEBPB IP | 125DVD3,,,
125DVD3,CEPT1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CERS1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CETP,colon,CEBPB IP | 125DVD3,,,
125DVD3,CHEK1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CHKA,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,CHPT1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CPT1A,colon,CEBPB IP | 125DVD3,,,
125DVD3,CPT1B,colon,CEBPB IP | 125DVD3,,,
125DVD3,CRAT,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,CRLS1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CYP17A1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CYP19A1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CYP1A1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CYP1B1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CYP21A2,colon,CEBPB IP | 125DVD3,,,
125DVD3,CYP27A1,colon,CEBPB IP | 125DVD3,,,
125DVD3,CYP2C8,colon,CDX2 IP | 125DVD3,,,
125DVD3,CYP39A1,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,CYP3A4,colon,"CEBPB IP | 125DVD3, CDX2 IP | 125DVD3",,,
125DVD3,CYP4A11,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,CYP51A1,colon,CEBPB IP | 125DVD3,,,
125DVD3,DEGS1,colon,CEBPB IP | 125DVD3,,,
125DVD3,DGAT1,colon,CEBPB IP | 125DVD3,,,
125DVD3,DHCR7,colon,CEBPB IP | 125DVD3,,,
125DVD3,DPEP1,colon,"TCF4 IP | 125DVD3, CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,ECHS1,colon,CEBPB IP | 125DVD3,,,
125DVD3,ECI1,colon,CEBPB IP | 125DVD3,,,
125DVD3,ELOVL1,colon,CEBPB IP | 125DVD3,,,
125DVD3,ELOVL2,colon,CEBPB IP | 125DVD3,,,
125DVD3,ELOVL3,colon,CEBPB IP | 125DVD3,,,
125DVD3,ELOVL4,colon,CEBPB IP | 125DVD3,,,
125DVD3,ELOVL6,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3",,,
125DVD3,FAAH,colon,CEBPB IP | 125DVD3,,,
125DVD3,FADS1,colon,CEBPB IP | 125DVD3,,,
