TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
AR,AKR1C3,prostate,"AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1",,,
AR,AKR1C3,prostate,"AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1",,,22971343
AR,AKR1D1,prostate,AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq,22383394.0,,
AR,AKR1D1,prostate,AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq,,,
AR,CPT2,prostate,"WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq",,,
AR,CPT2,prostate,"WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq",19668381.0,,
AR,CYP7B1,prostate,,22383394.0,16630558.0,
AR,CYP7B1,prostate,,19668381.0,,16630558
AR,MGLL,prostate,"AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq",19668381,,
AR,MGLL,prostate,"AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq",19668381.0,,
AR,SCP2,prostate,AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq,,,
AR,SCP2,prostate,AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq,19668381.0,,
AR,SCP2,prostate,AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq,,,
BACH1,PLA2G4A,mammarygland,,22875853.0,,
BACH1,PLA2G4A,mammarygland,,22875853,,
CLOCK,DGAT1,colon,,20551151,,
