TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
FOXA1,ACOT8,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, FOXA1 IP | 17BE2 - T47D, FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2",,,
17BE2,ACOT8,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 IP | 17BE2 - T47D, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2",,,
MYB,ACOT8,leukocytes,"MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1, MYB IP - MOLT3, MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 4",,,
MAX,ACOT8,leukocytes,"MAX IP - K562 cells, Rep 2, MAX IP - GM12878 cells, MAX IP - NB4 cells, MAX IP - K562 cells",,,
FOXM1,ACOT8,mammarygland,"FOXM1 IP - DS005, FOXM1 IP | THSP - DS006, FOXM1 IP | THSP - DS008",,,
MXI1,ACOT8,leukocytes,MXI1 IP - GM12878 cells,,,
DHT,ACOT8,mammarygland,"DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq",,,
MYC,ACOT8,liver,MYC IP,,,
STAT3,ACOT8,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h",,,
4HT,ACOT8,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h, MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 4 h, E2F4 IP | 4HT - MCF10 cells",,,
GATA4,ACOT8,stemcells,"GATA4 IP - Rep 4 , GATA4 IP - Rep 6 , GATA4 IP - Rep 16 , GATA4 IP - Rep 3 , GATA4 IP - Rep 7 , GATA4 IP - Rep 8 , GATA4 IP - Rep 1 , GATA4 IP - Rep 5 , GATA4 IP - Rep 9 , GATA4 IP - Rep 10 ",,,
NANOG,ACOT8,stemcells,"NANOG IP - Rep 4 , NANOG IP - Rep 3 , NANOG IP - Rep 1, NANOG IP - H1 cells, NANOG IP - Rep 2 , NANOG IP - Rep 9 , NANOG IP - Rep 5 , NANOG IP - Rep 2, NANOG IP - Rep 6 , NANOG IP - Rep 8 ",,,
MYC,ACOT8,mammarygland,"MYC IP - MCF-10A cells, DHT | MYC ChIP-Seq, MYC IP | 4HT - MCF10A cells",,,
FOXA1,ACOT8,stemcells,"FOXA1 IP - ES D2, FOXA1 IP - Rep 5 ",,,
IRF3,ACOT8,liver,IRF3 IP - HepG2 cells,,,
MYC,ACOT8,uterus,MYC IP - HeLa cells,,,
JUN,ACOT8,uterus,JUN IP - HeLa cells,,,
HIF1A,ACOT8,bone,"HIF1A IP, HIF1A IP, HIF1A IP",,,
SPI1,ACOT8,leukocytes,"SPI1 IP - U-937 cells, Rep 4 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP | RUNX1 KD, SPI1 IP - U-937 cells, Rep 2 , SPI1 IP - HL cells, SPI1 IP, SPI1 IP - K562 cells",,,
MYBL2,ACOT8,liver,MYBL2 IP - HepG2 cells,,,
YY1,ACOT8,leukocytes,"YY1 IP - K562 cells, Rep 2, YY1 IP - GM12892 cells, Rep 1, YY1 IP - GM12878 cells, YY1 IP - GM12891 cells, YY1 IP - K562 cells, Rep 1",,,
EGR1,ACOT8,colon,EGR1 IP - HCT116 cells,,,
IRF3,ACOT8,uterus,IRF3 IP - HeLa cells,,,
E2F8,ACOT8,colon,E2F8 IP ,,,
TCF12,ACOT8,leukocytes,TCF12 IP - GM12878 cells,,,
GABPA,ACOT8,leukocytes,"GABPA IP - GM12878 cells, GABPA IP - GM12878 cells, Rep 2 , GABPA IP - Jurkat, Rep 2, GABPA IP - K562 cells, GABPA IP - HL cells, GABPA IP - GM12878 cells, Rep 5 , GABPA IP, GABPA IP - Jurkat, Rep 1, GABPA IP - GM12878 cells, Rep 3 , GABPA IP - GM12878 cells, Rep 1 , GABPA IP - GM12878 cells, Rep 4 ",,,
FOXA2,ACOT8,stemcells,"FOXA2 IP - ES D5, FOXA2 IP - ES D7, FOXA2 IP - ES D2, FOXA2 IP - Rep 5 , FOXA2 IP - ES D10",,,
IRF1,ACOT8,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNA1-13 - K562 cells, 6 h",,,
IFNG,ACOT8,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, STAT1 IP - Rep 5, STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 2, MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min",,,
STAT3,ACOT8,leukocytes,"STAT3 IP - SU-DHL-4, STAT3 IP - SU-DHL-6, STAT3 IP - SU-DHL-2, STAT3 IP - OCI-LY7",,,
GABPA,ACOT8,prostate,"GABPA IP | R1881, GABPA IP - Rep 2, GABPA IP - Rep 1",,,
R1881,ACOT8,prostate,"GABPA IP | R1881, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1",,,
SOX2,ACOT8,stemcells,"SOX2 IP - Rep 2 , SOX2 IP - Rep 3 , SOX2 IP - Rep 2, SOX2 IP",,,
FOXA1,ACOT8,prostate,"CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, FOXA1 KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , GATA2 KD  | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - LNCaP-abl, GATA2 KD + R1881 | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 KD | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq",,,
KLF11,ACOT8,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1",,,
ROSI,ACOT8,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1",,,
SIX5,ACOT8,leukocytes,SIX5 IP - GM12878 cells,,,
YY1,ACOT8,colon,YY1 IP - HCT116 cells,,,
MAX,ACOT8,uterus,"MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 2",,,
SIX5,ACOT8,lung,SIX5 IP | DEX - A549 cells,,,
SREBF1,ACOT8,liver,SREBF1 IP | INS + 22RHC - HepG2 cells,,,
22RHC; INS,ACOT8,liver,SREBF1 IP | INS + 22RHC - HepG2 cells,,,
REST,ACOT8,leukocytes,"REST IP - GM12878 cells, Rep 14 , REST IP - HL60 cells, REST IP - K562 cells, REST IP - GM12878 cells, Rep 1, REST IP - GM12878 cells, Rep 16 ",,,
CEBPB,ACOT8,uterus,CEBPB ChIP-Seq - HeLaS3,,,
STAT1,ACOT8,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 2",,,
MAFF,ACOT8,liver,MAFF IP - HepG2 cells,,,
GATA3,ACOT8,mammarygland,"GATA3 IP - T47D cells, GATA3 IP - MCF7 cells",,,
TEAD4,ACOT8,leukocytes,TEAD4 IP - K562 cells,,,
ELF1,ACOT8,liver,ELF1 IP - HepG2 cells,,,
SIX2,ACOT8,kidney,"SIX2 IP - 17 weeks, Rep 2, SIX2 IP - 17 weeks, Rep 1",,,
ZNF384,ACOT8,leukocytes,ZNF384 IP - K562 cells,,,
MAX,ACOT8,lung,MAX IP - A549 cells,,,
OTX2,ACOT8,stemcells,"OTX2 IP - Rep 10 , OTX2 IP - Rep 2 , OTX2 IP - Rep 8 , OTX2 IP - Rep 5 ",,,
ERG,ACOT8,prostate,"CON KD | ERG ChIP-Seq, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h, JQI | ERG ChIP-Seq - Rep 2, DMSO | ERG ChIP-Seq - Rep 1, ERG ChIP-Seq, JQI | ERG ChIP-Seq - Rep 1, DMSO | ERG ChIP-Seq - Rep 2",,,
SP2,ACOT8,liver,SP2 IP - HepG2 cells,,,
UBTF,ACOT8,leukocytes,UBTF IP - K562 cells,,,
SRF,ACOT8,uterus,SRF IP - ECC1 cells,,,
MAZ,ACOT8,lung,MAZ IP - IMR cells,,,
